iteration,pci_total_us,pci_transport_us,net_state_us,rx_rate_limiter_us,tx_rate_limiter_us,mmds_routing_us,build_queues_us,buffer_reset_us,reapply_activation_us
1,352.328,55.824,290.319,9.766,2.055,65.289,37.923,124.131,18.264
2,440.179,75.199,355.466,12.879,2.367,66.768,52.964,148.055,29.227
3,294.341,44.581,243.645,8.910,2.125,41.099,34.395,110.442,15.986
4,384.834,55.496,322.026,10.192,1.945,52.622,39.854,137.915,19.044
5,347.440,52.792,287.088,10.611,1.855,53.470,42.461,126.452,18.979
6,355.936,62.017,287.260,10.073,1.767,57.177,40.710,128.490,17.827
7,349.493,53.338,288.121,11.158,1.844,49.021,42.981,126.458,20.870
8,345.739,55.402,283.417,9.554,1.818,58.378,39.629,121.271,19.635
9,422.584,65.336,348.204,11.395,2.336,60.648,52.398,148.433,27.684
10,279.703,43.555,230.197,8.826,1.715,38.021,32.486,104.770,16.168
11,303.605,45.385,251.828,9.790,1.766,42.916,35.681,114.468,16.472
12,469.701,77.307,383.112,11.619,2.439,87.433,58.482,148.710,29.047
13,412.373,67.464,336.092,9.590,2.575,79.107,45.324,130.919,26.933
14,489.451,81.121,397.740,11.829,2.757,76.315,58.334,167.086,32.030
15,322.828,45.222,271.505,8.729,1.903,46.629,37.870,116.413,17.726
16,413.557,66.788,337.476,12.258,2.299,60.414,52.306,141.537,26.765
17,397.141,58.652,332.136,9.396,1.846,78.212,46.529,134.277,21.395
18,360.847,61.787,291.590,10.475,2.260,68.100,42.045,116.778,19.565
19,441.366,74.305,357.602,11.435,2.677,72.746,53.121,146.744,27.069
20,335.679,55.016,274.442,9.589,1.815,54.282,41.952,118.069,18.071
21,350.165,62.059,280.490,8.814,2.047,59.759,37.819,120.395,18.357
22,464.907,77.861,377.634,11.892,2.523,71.451,56.338,160.191,30.110
23,523.774,75.997,437.764,12.177,2.364,118.788,57.910,166.417,31.226
24,403.359,66.935,327.053,10.740,2.472,56.801,49.929,134.091,30.410
25,444.500,73.581,361.101,12.356,2.398,70.472,53.851,149.899,27.814
26,321.230,54.640,260.384,9.139,2.095,49.707,34.199,107.079,16.515
27,348.883,65.134,276.495,10.065,1.942,50.888,40.388,116.443,18.388
28,379.681,63.930,308.877,11.059,1.950,71.209,42.479,127.790,17.798
29,352.007,65.109,279.414,9.687,1.955,47.716,39.023,129.090,17.598
30,320.882,47.800,265.132,9.913,1.806,44.153,36.502,122.006,21.148
