dirty_mb,iteration,reset_total,pci_total_us,guest_function_us
1,1,16635,458.903,64170.365
1,2,12314,373.413,69294.885
1,3,16390,655.153,69265.958
1,4,14258,386.310,72758.951
1,5,13365,383.796,58770.505
1,6,15618,473.569,52036.995
1,7,14993,504.022,56802.024
1,8,13388,409.124,60023.600
1,9,12918,301.521,60960.066
1,10,14871,449.144,61266.335
1,11,12671,250.800,49764.981
1,12,11538,246.945,45092.260
1,13,13888,282.749,72807.116
1,14,12591,339.369,55514.299
1,15,13236,381.513,56661.234
1,16,13556,390.050,64840.607
1,17,13198,382.960,62662.447
1,18,12349,255.226,53019.442
1,19,15275,420.514,56286.650
1,20,12055,302.990,72219.133
1,21,13059,313.735,59550.366
1,22,11810,236.651,82098.940
1,23,13168,425.484,52907.664
1,24,14425,398.876,60038.715
1,25,11425,274.410,76582.914
1,26,13262,418.244,70867.929
1,27,17346,334.115,63985.946
1,28,13232,389.316,65020.672
1,29,16416,365.877,46868.796
1,30,12739,370.704,58776.939
4,1,15918,427.818,163437.722
4,2,15508,421.591,286354.097
4,3,14332,436.452,163113.953
4,4,13903,454.830,155813.415
4,5,13233,439.300,167564.242
4,6,13348,341.177,140431.923
4,7,14227,418.528,175812.160
4,8,16246,461.403,157136.667
4,9,11923,270.474,209494.779
4,10,15078,261.967,176849.204
4,11,16484,803.651,142877.428
4,12,15640,370.190,147273.440
4,13,14122,304.793,153974.997
4,14,14214,343.701,143769.895
4,15,14900,400.032,128436.776
4,16,13716,333.002,168820.332
4,17,13723,349.606,169607.478
4,18,14879,270.341,190786.217
4,19,14669,314.747,152469.805
4,20,14511,312.363,148521.344
4,21,15039,433.191,159860.184
4,22,13316,277.492,177288.194
4,23,14580,392.621,147875.467
4,24,16215,427.240,174625.511
4,25,15607,317.917,168027.518
4,26,14578,417.323,146304.930
4,27,14740,310.792,169660.943
4,28,13951,326.114,185149.128
4,29,14464,317.968,171633.469
4,30,11861,254.085,179063.066
8,1,14398,382.775,249284.396
8,2,15405,485.246,264923.462
8,3,14543,423.177,288846.131
8,4,15454,371.632,266395.168
8,5,14453,634.395,258443.227
8,6,15824,294.541,278670.185
8,7,14790,312.612,242714.104
8,8,14354,293.702,258855.892
8,9,15190,310.563,251202.497
8,10,15076,346.136,266350.676
8,11,16573,421.286,239241.462
8,12,15273,407.371,257301.440
8,13,15677,376.277,277525.489
8,14,15121,687.757,240737.067
8,15,14726,449.325,262689.666
8,16,15154,339.578,260536.289
8,17,15805,428.025,278372.485
8,18,14619,302.924,268080.193
8,19,15860,441.502,265178.088
8,20,14444,382.839,306121.080
8,21,15047,269.369,253798.028
8,22,16106,296.329,247392.421
8,23,14677,445.350,283605.444
8,24,15538,280.564,294556.154
8,25,18204,564.366,264437.563
8,26,16188,394.238,287913.019
8,27,15288,436.737,271104.996
8,28,14592,299.392,288278.142
8,29,17098,438.752,301138.178
8,30,14413,298.506,264862.786
16,1,15181,287.895,359987.509
16,2,13252,341.150,331548.415
16,3,15803,401.737,338366.766
16,4,14651,499.528,376642.460
16,5,15668,487.860,336078.757
16,6,14022,356.319,312325.153
16,7,13772,347.018,340163.307
16,8,13945,466.704,335974.371
16,9,14706,504.798,316684.529
16,10,14132,248.081,368328.865
16,11,12180,311.810,285814.093
16,12,13776,245.537,349141.428
16,13,13863,428.059,326011.693
16,14,14824,309.678,365631.820
16,15,14620,288.899,288655.718
16,16,13520,334.383,303566.941
16,17,15158,468.463,320683.770
16,18,11478,299.101,299225.532
16,19,14838,279.645,342722.755
16,20,16682,464.009,361290.545
16,21,13544,367.006,358765.955
16,22,14405,384.970,353436.236
16,23,14429,277.711,332855.423
16,24,13601,301.127,321812.909
16,25,13305,313.174,292916.520
16,26,16198,328.024,327596.604
16,27,13455,425.298,350564.978
16,28,11523,307.420,324076.778
16,29,14782,359.755,328835.818
16,30,12587,359.418,341030.624
32,1,12532,313.885,396788.082
32,2,14105,383.327,306331.385
32,3,13236,400.556,364123.518
32,4,19764,633.617,334710.842
32,5,15629,441.050,346690.456
32,6,13281,280.880,305665.694
32,7,13910,275.788,311809.606
32,8,14582,357.052,341435.639
32,9,13668,412.378,313666.214
32,10,15708,476.071,318983.746
32,11,15217,323.898,324097.349
32,12,15369,445.096,299017.243
32,13,15245,359.122,317827.434
32,14,19390,459.856,380467.568
32,15,13863,396.582,328132.519
32,16,14243,393.264,334696.372
32,17,13922,380.516,382390.616
32,18,14718,510.291,344715.217
32,19,13820,351.508,386566.039
32,20,14059,421.363,376670.569
32,21,19637,405.397,412775.811
32,22,19863,610.152,399997.139
32,23,16332,819.783,358409.207
32,24,14430,369.347,418954.145
32,25,14386,379.079,345104.380
32,26,13635,292.806,340352.048
32,27,15642,366.386,377897.252
32,28,14957,290.193,320900.032
32,29,15057,269.006,332682.120
32,30,15150,265.422,310479.171
64,1,14385,358.589,325486.538
64,2,14718,403.190,338597.875
64,3,14438,397.413,319509.383
64,4,12158,285.807,376061.986
64,5,14273,357.688,374525.779
64,6,13752,366.405,352070.579
64,7,14429,390.826,333980.373
64,8,15556,282.727,356432.137
64,9,13038,316.593,334159.897
64,10,14005,371.740,335762.382
64,11,16030,398.971,334751.038
64,12,14355,345.039,327535.862
64,13,13512,393.344,309951.529
64,14,15969,493.189,367217.898
64,15,16566,416.406,342048.338
64,16,11242,411.590,316890.340
64,17,13392,298.618,308930.602
64,18,15180,288.434,365678.688
64,19,13696,321.611,382288.014
64,20,15598,284.970,371868.991
64,21,14796,286.393,349222.427
64,22,13962,367.451,357992.167
64,23,11612,357.072,349329.536
64,24,12391,289.298,354153.347
64,25,13825,275.679,398625.605
64,26,15731,467.966,394084.317
64,27,14556,298.417,330498.980
64,28,14684,645.513,361369.931
64,29,14109,330.733,347350.590
64,30,14601,343.728,401900.699
