iteration,reset_total_us,pci_total_us,pci_transport_us,net_state_us,msix_reset_us,config_us,msix_disable_us,msix_update_us
1,11276.000,1088.872000,879.807,202.453,838.340,18.726,252.641,505.326
2,10984.000,1127.952000,881.412,237.796,831.995,22.169,450.005,345.164
3,12392.000,1650.012000,1364.875000,271.771,1300.884000,29.516,614.209,616.091
4,10886.000,1221.269000,974.787,237.768,912.043,21.937,526.201,349.307
5,10507.000,736.698,479.570,248.676,426.830,21.964,193.593,198.753
6,10650.000,962.124,703.139,249.881,651.820,23.681,272.197,347.319
7,9647.000,811.651,629.819,175.814,594.275,13.981,253.058,317.522
8,10778.000,1169.485000,917.689,243.029,868.997,21.824,332.335,504.685
9,10212.000,822.283,630.359,185.438,591.127,18.122,241.740,324.250
10,9112.000,789.018,546.585,233.827,497.506,23.449,294.435,172.377
11,10021.000,505.890,317.619,181.685,277.362,17.667,96.246,142.491
12,10142.000,987.365,729.481,248.448,589.719,24.138,212.174,335.728
13,10743.000,843.967,634.226,203.246,589.470,20.487,290.592,263.171
14,14578.000,1649.641000,1284.188000,350.113,1200.502000,45.028,881.562,249.927
15,9882.000,646.123,442.616,190.053,396.591,20.701,179.023,152.970
16,8686.000,438.410,244.712,187.307,203.685,18.891,71.016,108.702
17,8786.000,705.525,492.124,200.730,447.140,19.597,229.122,155.766
18,10145.000,676.939,478.277,185.121,435.627,17.606,218.813,146.191
19,9375.000,832.953,633.277,193.987,598.057,14.502,254.995,319.673
20,9975.000,789.080,545.890,233.762,493.433,24.703,277.992,183.846
21,9060.000,660.262,482.676,171.675,448.370,14.132,250.275,175.878
22,8430.000,401.186,222.459,172.323,189.554,13.419,63.017,104.486
23,10560.000,701.157,505.944,188.289,470.134,14.404,120.886,323.246
24,11337.000,1403.828000,1085.984000,215.086,1033.395000,22.527,434.301,519.729
25,9751.000,718.012,536.361,175.666,502.343,13.490,142.742,325.409
26,10835.000,894.018,646.280,239.108,597.144,21.664,232.694,332.319
27,10556.000,854.416,608.037,237.618,558.936,22.803,242.696,285.252
28,10690.000,722.644,521.547,195.335,480.533,19.195,141.370,313.334
29,10794.000,1034.479000,779.320,245.759,726.908,24.960,341.106,349.233
30,9789.000,657.140,445.518,199.103,403.253,17.895,190.300,153.074
